Date,Time,Weather,Road_Condition,Time_of_Day,Traffic,Accident_Type,Vehicle_Type,Accident_Reason,Latitude,Longitude,Severity
2025-06-30,18:18:12,Fog,Poor,Afternoon,Medium,Head-on,Bicycle,Weather,40.80521961792181,-73.87425879162106,High
2025-01-11,04:28:16,Rain,Moderate,Night,Medium,Rollover,Car,Distracted Driving,40.7154467669516,-73.84053083628076,High
2025-07-12,03:03:09,Clear,Good,Night,High,Side,Car,Weather,40.56265269966121,-73.98755831193476,Medium
2025-01-01,13:52:56,Clear,Good,Afternoon,Medium,Head-on,Car,Distracted Driving,40.58776958778045,-73.9348552822858,Medium
2025-04-17,07:34:25,Rain,Good,Morning,Medium,Side,Truck,Alcohol,40.67290411648174,-73.83737414256355,Low
2025-03-16,09:04:48,Clear,Construction,Morning,Medium,Other,Pedestrian,Other,40.70498179629907,-73.78543105554672,Low
2025-06-15,19:01:51,Rain,Good,Evening,Jam,Rollover,Car,Weather,40.57055811490552,-74.07976256800532,High
2025-03-30,00:38:23,Clear,Moderate,Night,Low,Side,Car,Running Red Light,40.85960346079433,-73.78003806851164,Low
2025-08-08,01:01:47,Clear,Poor,Night,Medium,Rollover,Truck,Distracted Driving,40.84798728247908,-73.82873242331662,High
2025-08-08,05:36:19,Rain,Moderate,Night,Medium,Other,Car,Other,40.58352311592198,-73.73175020461689,Medium
2025-02-03,04:07:49,Clear,Good,Night,Medium,Rear-end,Car,Mechanical Failure,40.88656107588251,-73.89011976074127,Low
2025-05-12,11:43:09,Clear,Good,Morning,High,Rollover,Truck,Mechanical Failure,40.80397256718423,-73.83035666411403,Medium
2025-01-24,10:48:30,Clear,Good,Morning,Low,Head-on,Truck,Speeding,40.76887899916357,-74.10418126213095,Medium
2025-01-03,20:08:20,Clear,Good,Evening,Medium,Rear-end,Bicycle,Distracted Driving,40.59691409240457,-73.79755397703512,Low
2025-01-10,17:56:26,Clear,Moderate,Afternoon,Medium,Side,Car,Alcohol,40.67464506170138,-73.88808608609962,Low
2025-08-28,04:51:33,Clear,Good,Night,Medium,Head-on,Car,Distracted Driving,40.67363835856344,-73.96327082074755,Medium
2025-07-25,17:02:03,Rain,Moderate,Afternoon,Medium,Head-on,Truck,Alcohol,40.62569584769566,-74.02256752769854,Medium
2025-08-17,09:51:54,Clear,Good,Morning,Low,Other,Truck,Other,40.88622067395281,-73.81998819615933,Low
2025-01-28,01:32:57,Rain,Good,Night,Low,Rollover,Truck,Weather,40.58630684073714,-73.9280042038202,High
2025-05-15,16:26:52,Clear,Good,Afternoon,High,Side,Truck,Speeding,40.55956834190928,-73.93429440288651,Low
2025-08-22,05:44:35,Snow,Good,Night,Medium,Other,Motorcycle,Speeding,40.65917598389745,-73.84619040667856,Medium
2025-05-18,05:34:50,Rain,Moderate,Night,Medium,Side,Car,Mechanical Failure,40.61487123513855,-73.87774922798661,Medium
